item_id,target_id,ground_truth,reviewer_name,reviewer_role,classification,confidence,time_spent_seconds,gpt_classification,gpt_confidence,gpt_reasoning,gpt_uncertainty
ITEM-007,KIC9612468,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,1.0,63,Unknown,4.0,"Several indicators were reviewed, including signal stability, feature prominence, and agreement with established classification criteria. Review reference 34.",Low uncertainty.
ITEM-007,KIC9612468,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,3.0,43,Unknown,4.0,"The available evidence suggested this outcome after evaluating trend behavior, measurement confidence, and pattern similarity. Review reference 35.",Low uncertainty.
ITEM-008,KIC6613627,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,1.8,77,Triple_System,4.7,The conclusion was reached by weighing the strongest observed features while accounting for ambiguity in the underlying data. Review reference 36.,Low uncertainty.
ITEM-008,KIC6613627,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,3.2,97,Triple_System,4.7,"Observed signatures provided moderate support for this label, although some characteristics could also support alternative interpretations. Review reference 37.",Low uncertainty.
ITEM-008,KIC6613627,False_Positive,Graduate Student A,Graduate Student,Unknown,2.3,32,Triple_System,4.7,This result follows from examining the primary detection markers and determining which category offered the closest overall match. Review reference 38.,Low uncertainty.
ITEM-008,KIC6613627,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,2.5,69,Triple_System,4.7,The reasoning incorporates both the dominant signal features and the reliability of the supporting observations. Review reference 39.,Low uncertainty.
ITEM-008,KIC6613627,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,2.0,102,Triple_System,4.7,The final label was selected after reviewing the balance of evidence and comparing competing classification possibilities. Review reference 40.,Low uncertainty.
ITEM-009,KIC5302006,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,4.9,98,Eclipsing_Binary,4.5,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 41.",Low uncertainty.
ITEM-009,KIC5302006,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,1.5,90,Eclipsing_Binary,4.5,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 42.",Low uncertainty.
ITEM-009,KIC5302006,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,2.1,107,Eclipsing_Binary,4.5,"The classification reflects a comparison of observed characteristics against reference cases, with attention to possible noise sources. Review reference 43.",Low uncertainty.
ITEM-009,KIC5302006,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,1.8,99,Eclipsing_Binary,4.5,"Several indicators were reviewed, including signal stability, feature prominence, and agreement with established classification criteria. Review reference 44.",Low uncertainty.
ITEM-009,KIC5302006,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,3.9,81,Eclipsing_Binary,4.5,"The available evidence suggested this outcome after evaluating trend behavior, measurement confidence, and pattern similarity. Review reference 45.",Low uncertainty.
ITEM-010,KIC9898401,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,1.5,58,Triple_System,4.0,The conclusion was reached by weighing the strongest observed features while accounting for ambiguity in the underlying data. Review reference 46.,Low uncertainty.
ITEM-010,KIC9898401,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,1.1,100,Triple_System,4.0,"Observed signatures provided moderate support for this label, although some characteristics could also support alternative interpretations. Review reference 47.",Low uncertainty.
ITEM-010,KIC9898401,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,1.9,39,Triple_System,4.0,This result follows from examining the primary detection markers and determining which category offered the closest overall match. Review reference 48.,Low uncertainty.
ITEM-010,KIC9898401,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,1.2,38,Triple_System,4.0,The reasoning incorporates both the dominant signal features and the reliability of the supporting observations. Review reference 49.,Low uncertainty.
ITEM-010,KIC9898401,False_Positive,Industry Professional,Research Professional,Triple_System,1.3,60,Triple_System,4.0,The final label was selected after reviewing the balance of evidence and comparing competing classification possibilities. Review reference 50.,Low uncertainty.
ITEM-011,KIC7375612,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,3.9,103,Unknown,4.1,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 51.",Low uncertainty.
ITEM-011,KIC7375612,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,2.0,90,Unknown,4.1,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 52.",Low uncertainty.
ITEM-011,KIC7375612,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,1.4,114,Unknown,4.1,"The classification reflects a comparison of observed characteristics against reference cases, with attention to possible noise sources. Review reference 53.",Low uncertainty.
ITEM-011,KIC7375612,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,2.7,89,Unknown,4.1,"Several indicators were reviewed, including signal stability, feature prominence, and agreement with established classification criteria. Review reference 54.",Low uncertainty.
ITEM-011,KIC7375612,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,3.7,112,Unknown,4.1,"The available evidence suggested this outcome after evaluating trend behavior, measurement confidence, and pattern similarity. Review reference 55.",Low uncertainty.
ITEM-012,KIC5872696,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,4.4,61,Unknown,3.9,The conclusion was reached by weighing the strongest observed features while accounting for ambiguity in the underlying data. Review reference 56.,Moderate uncertainty.
ITEM-012,KIC5872696,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,3.1,47,Unknown,3.9,"Observed signatures provided moderate support for this label, although some characteristics could also support alternative interpretations. Review reference 57.",Moderate uncertainty.
ITEM-012,KIC5872696,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,2.1,61,Unknown,3.9,This result follows from examining the primary detection markers and determining which category offered the closest overall match. Review reference 58.,Moderate uncertainty.
ITEM-012,KIC5872696,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,2.8,100,Unknown,3.9,The reasoning incorporates both the dominant signal features and the reliability of the supporting observations. Review reference 59.,Moderate uncertainty.
ITEM-012,KIC5872696,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,3.6,99,Unknown,3.9,The final label was selected after reviewing the balance of evidence and comparing competing classification possibilities. Review reference 60.,Moderate uncertainty.
ITEM-013,KIC7767774,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,1.7,92,Unknown,4.9,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 61.",Low uncertainty.
ITEM-013,KIC7767774,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,4.5,37,Unknown,4.9,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 62.",Low uncertainty.
ITEM-013,KIC7767774,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,1.0,79,Unknown,4.9,"The classification reflects a comparison of observed characteristics against reference cases, with attention to possible noise sources. Review reference 63.",Low uncertainty.
ITEM-013,KIC7767774,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,4.1,88,Unknown,4.9,"Several indicators were reviewed, including signal stability, feature prominence, and agreement with established classification criteria. Review reference 64.",Low uncertainty.
ITEM-013,KIC7767774,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,3.8,101,Unknown,4.9,"The available evidence suggested this outcome after evaluating trend behavior, measurement confidence, and pattern similarity. Review reference 65.",Low uncertainty.
ITEM-014,KIC12350008,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,1.9,37,Unknown,4.1,The conclusion was reached by weighing the strongest observed features while accounting for ambiguity in the underlying data. Review reference 66.,Low uncertainty.
ITEM-014,KIC12350008,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,3.2,70,Unknown,4.1,"Observed signatures provided moderate support for this label, although some characteristics could also support alternative interpretations. Review reference 67.",Low uncertainty.
ITEM-014,KIC12350008,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,3.3,94,Unknown,4.1,This result follows from examining the primary detection markers and determining which category offered the closest overall match. Review reference 68.,Low uncertainty.
ITEM-014,KIC12350008,False_Positive,Graduate Student B,Graduate Student,Unknown,1.6,95,Unknown,4.1,The reasoning incorporates both the dominant signal features and the reliability of the supporting observations. Review reference 69.,Low uncertainty.
ITEM-014,KIC12350008,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,1.7,106,Unknown,4.1,The final label was selected after reviewing the balance of evidence and comparing competing classification possibilities. Review reference 70.,Low uncertainty.
ITEM-015,KIC10684673,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,4.8,102,Unknown,4.8,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 71.",Low uncertainty.
ITEM-015,KIC10684673,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,3.4,109,Unknown,4.8,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 72.",Low uncertainty.
ITEM-015,KIC10684673,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,3.6,102,Unknown,4.8,"The classification reflects a comparison of observed characteristics against reference cases, with attention to possible noise sources. Review reference 73.",Low uncertainty.
ITEM-015,KIC10684673,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,4.7,56,Unknown,4.8,"Several indicators were reviewed, including signal stability, feature prominence, and agreement with established classification criteria. Review reference 74.",Low uncertainty.
ITEM-015,KIC10684673,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,2.3,63,Unknown,4.8,"The available evidence suggested this outcome after evaluating trend behavior, measurement confidence, and pattern similarity. Review reference 75.",Low uncertainty.
ITEM-016,KIC9532219,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,2.3,39,False_Positive,4.4,The conclusion was reached by weighing the strongest observed features while accounting for ambiguity in the underlying data. Review reference 76.,Low uncertainty.
ITEM-016,KIC9532219,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,3.5,102,False_Positive,4.4,"Observed signatures provided moderate support for this label, although some characteristics could also support alternative interpretations. Review reference 77.",Low uncertainty.
ITEM-016,KIC9532219,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,3.2,94,False_Positive,4.4,This result follows from examining the primary detection markers and determining which category offered the closest overall match. Review reference 78.,Low uncertainty.
ITEM-016,KIC9532219,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,4.7,38,False_Positive,4.4,The reasoning incorporates both the dominant signal features and the reliability of the supporting observations. Review reference 79.,Low uncertainty.
ITEM-016,KIC9532219,False_Positive,Industry Professional,Research Professional,Triple_System,2.1,86,False_Positive,4.4,The final label was selected after reviewing the balance of evidence and comparing competing classification possibilities. Review reference 80.,Low uncertainty.
ITEM-017,KIC6699679,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,4.9,113,False_Positive,4.5,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 81.",Low uncertainty.
ITEM-017,KIC6699679,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,3.7,100,False_Positive,4.5,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 82.",Low uncertainty.
ITEM-017,KIC6699679,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,3.7,47,False_Positive,4.5,"The classification reflects a comparison of observed characteristics against reference cases, with attention to possible noise sources. Review reference 83.",Low uncertainty.
ITEM-017,KIC6699679,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,4.6,100,False_Positive,4.5,"Several indicators were reviewed, including signal stability, feature prominence, and agreement with established classification criteria. Review reference 84.",Low uncertainty.
ITEM-017,KIC6699679,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,2.1,56,False_Positive,4.5,"The available evidence suggested this outcome after evaluating trend behavior, measurement confidence, and pattern similarity. Review reference 85.",Low uncertainty.
ITEM-018,KIC6287172,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,2.1,92,False_Positive,3.6,The conclusion was reached by weighing the strongest observed features while accounting for ambiguity in the underlying data. Review reference 86.,Moderate uncertainty.
ITEM-018,KIC6287172,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,4.6,36,False_Positive,3.6,"Observed signatures provided moderate support for this label, although some characteristics could also support alternative interpretations. Review reference 87.",Moderate uncertainty.
ITEM-018,KIC6287172,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,2.7,65,False_Positive,3.6,This result follows from examining the primary detection markers and determining which category offered the closest overall match. Review reference 88.,Moderate uncertainty.
ITEM-018,KIC6287172,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,2.3,46,False_Positive,3.6,The reasoning incorporates both the dominant signal features and the reliability of the supporting observations. Review reference 89.,Moderate uncertainty.
ITEM-018,KIC6287172,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,2.0,86,False_Positive,3.6,The final label was selected after reviewing the balance of evidence and comparing competing classification possibilities. Review reference 90.,Moderate uncertainty.
ITEM-019,KIC11825204,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,1.3,118,False_Positive,4.0,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 91.",Low uncertainty.
ITEM-019,KIC11825204,False_Positive,Professor B,Astronomy Professor,Unknown,1.1,77,False_Positive,4.0,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 92.",Low uncertainty.
ITEM-019,KIC11825204,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,1.6,46,False_Positive,4.0,"The classification reflects a comparison of observed characteristics against reference cases, with attention to possible noise sources. Review reference 93.",Low uncertainty.
ITEM-019,KIC11825204,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,2.5,35,False_Positive,4.0,"Several indicators were reviewed, including signal stability, feature prominence, and agreement with established classification criteria. Review reference 94.",Low uncertainty.
ITEM-019,KIC11825204,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,3.7,115,False_Positive,4.0,"The available evidence suggested this outcome after evaluating trend behavior, measurement confidence, and pattern similarity. Review reference 95.",Low uncertainty.
ITEM-020,KIC4921906,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,2.6,109,False_Positive,4.6,The conclusion was reached by weighing the strongest observed features while accounting for ambiguity in the underlying data. Review reference 96.,Low uncertainty.
ITEM-020,KIC4921906,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,4.7,60,False_Positive,4.6,"Observed signatures provided moderate support for this label, although some characteristics could also support alternative interpretations. Review reference 97.",Low uncertainty.
ITEM-020,KIC4921906,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,4.5,33,False_Positive,4.6,This result follows from examining the primary detection markers and determining which category offered the closest overall match. Review reference 98.,Low uncertainty.
ITEM-020,KIC4921906,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,4.7,82,False_Positive,4.6,The reasoning incorporates both the dominant signal features and the reliability of the supporting observations. Review reference 99.,Low uncertainty.
ITEM-020,KIC4921906,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,2.1,119,False_Positive,4.6,The final label was selected after reviewing the balance of evidence and comparing competing classification possibilities. Review reference 100.,Low uncertainty.
ITEM-021,KIC6387887,Eclipsing_Binary,Professor A,Astronomy Professor,False_Positive,1.9,88,Eclipsing_Binary,4.8,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 101.",Low uncertainty.
ITEM-021,KIC6387887,Eclipsing_Binary,Professor B,Astronomy Professor,False_Positive,4.3,59,Eclipsing_Binary,4.8,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 102.",Low uncertainty.
ITEM-021,KIC6387887,Eclipsing_Binary,Graduate Student A,Graduate Student,False_Positive,3.6,81,Eclipsing_Binary,4.8,"The classification reflects a comparison of observed characteristics against reference cases, with attention to possible noise sources. Review reference 103.",Low uncertainty.
ITEM-021,KIC6387887,Eclipsing_Binary,Graduate Student B,Graduate Student,False_Positive,4.5,65,Eclipsing_Binary,4.8,"Several indicators were reviewed, including signal stability, feature prominence, and agreement with established classification criteria. Review reference 104.",Low uncertainty.
ITEM-021,KIC6387887,Eclipsing_Binary,Industry Professional,Research Professional,False_Positive,3.0,116,Eclipsing_Binary,4.8,"The available evidence suggested this outcome after evaluating trend behavior, measurement confidence, and pattern similarity. Review reference 105.",Low uncertainty.
ITEM-022,KIC8288741,Eclipsing_Binary,Professor A,Astronomy Professor,False_Positive,4.5,63,Unknown,3.8,The conclusion was reached by weighing the strongest observed features while accounting for ambiguity in the underlying data. Review reference 106.,Moderate uncertainty.
ITEM-022,KIC8288741,Eclipsing_Binary,Professor B,Astronomy Professor,False_Positive,4.9,63,Unknown,3.8,"Observed signatures provided moderate support for this label, although some characteristics could also support alternative interpretations. Review reference 107.",Moderate uncertainty.
ITEM-022,KIC8288741,Eclipsing_Binary,Graduate Student A,Graduate Student,False_Positive,3.4,74,Unknown,3.8,This result follows from examining the primary detection markers and determining which category offered the closest overall match. Review reference 108.,Moderate uncertainty.
ITEM-022,KIC8288741,Eclipsing_Binary,Graduate Student B,Graduate Student,False_Positive,2.3,107,Unknown,3.8,The reasoning incorporates both the dominant signal features and the reliability of the supporting observations. Review reference 109.,Moderate uncertainty.
ITEM-022,KIC8288741,Eclipsing_Binary,Industry Professional,Research Professional,False_Positive,2.5,103,Unknown,3.8,The final label was selected after reviewing the balance of evidence and comparing competing classification possibilities. Review reference 110.,Moderate uncertainty.
ITEM-023,KIC12055255,Eclipsing_Binary,Professor A,Astronomy Professor,False_Positive,3.1,98,Eclipsing_Binary,3.3,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 111.",Moderate uncertainty.
ITEM-023,KIC12055255,Eclipsing_Binary,Professor B,Astronomy Professor,Eclipsing_Binary,4.8,115,Eclipsing_Binary,3.3,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 112.",Moderate uncertainty.
ITEM-023,KIC12055255,Eclipsing_Binary,Graduate Student A,Graduate Student,Eclipsing_Binary,2.7,115,Eclipsing_Binary,3.3,"The classification reflects a comparison of observed characteristics against reference cases, with attention to possible noise sources. Review reference 113.",Moderate uncertainty.
ITEM-023,KIC12055255,Eclipsing_Binary,Graduate Student B,Graduate Student,Unknown,2.3,45,Eclipsing_Binary,3.3,"Several indicators were reviewed, including signal stability, feature prominence, and agreement with established classification criteria. Review reference 114.",Moderate uncertainty.
ITEM-023,KIC12055255,Eclipsing_Binary,Industry Professional,Research Professional,Eclipsing_Binary,2.2,69,Eclipsing_Binary,3.3,"The available evidence suggested this outcome after evaluating trend behavior, measurement confidence, and pattern similarity. Review reference 115.",Moderate uncertainty.
ITEM-024,KIC11013201,Eclipsing_Binary,Professor A,Astronomy Professor,Eclipsing_Binary,3.2,54,Eclipsing_Binary,3.8,The conclusion was reached by weighing the strongest observed features while accounting for ambiguity in the underlying data. Review reference 116.,Moderate uncertainty.
ITEM-024,KIC11013201,Eclipsing_Binary,Professor B,Astronomy Professor,Eclipsing_Binary,4.8,116,Eclipsing_Binary,3.8,"Observed signatures provided moderate support for this label, although some characteristics could also support alternative interpretations. Review reference 117.",Moderate uncertainty.
ITEM-024,KIC11013201,Eclipsing_Binary,Graduate Student A,Graduate Student,Eclipsing_Binary,1.7,102,Eclipsing_Binary,3.8,This result follows from examining the primary detection markers and determining which category offered the closest overall match. Review reference 118.,Moderate uncertainty.
ITEM-024,KIC11013201,Eclipsing_Binary,Graduate Student B,Graduate Student,Eclipsing_Binary,3.2,30,Eclipsing_Binary,3.8,The reasoning incorporates both the dominant signal features and the reliability of the supporting observations. Review reference 119.,Moderate uncertainty.
ITEM-024,KIC11013201,Eclipsing_Binary,Industry Professional,Research Professional,Eclipsing_Binary,1.8,104,Eclipsing_Binary,3.8,The final label was selected after reviewing the balance of evidence and comparing competing classification possibilities. Review reference 120.,Moderate uncertainty.
ITEM-025,KIC8108785,Eclipsing_Binary,Professor A,Astronomy Professor,Eclipsing_Binary,3.7,95,Eclipsing_Binary,3.8,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 121.",Moderate uncertainty.
ITEM-025,KIC8108785,Eclipsing_Binary,Professor B,Astronomy Professor,Eclipsing_Binary,4.6,51,Eclipsing_Binary,3.8,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 122.",Moderate uncertainty.
