item_id,target_id,ground_truth,reviewer_name,human_classification,human_confidence,gpt_classification,gpt_confidence,gpt_reasoning,agreement
STAR-027,KIC3000027,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.6,Eclipsing_Binary,4.6,The variability pattern does not cleanly match a binary light curve and may reflect another astrophysical process. The observed dips are present but not well defined. Additional observations would improve confidence in the classification.,True
STAR-028,KIC3000028,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.6,Eclipsing_Binary,3.8,"The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed. The light curve shows periodic variability, but the eclipse signature is weak and inconsistent with a typical eclipsing binary. There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system.",True
STAR-029,KIC3000029,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.9,Eclipsing_Binary,3.6,"The signal quality is sufficient for a preliminary assessment, although some uncertainty remains. The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed.",True
STAR-030,KIC3000030,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.0,Eclipsing_Binary,5.0,The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed. The observed dips are present but not well defined. Additional observations would improve confidence in the classification.,True
STAR-031,KIC3000031,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.8,Eclipsing_Binary,4.5,Flux changes appear regular across the observation window. This pattern is more consistent with an eclipsing binary than stellar noise. The variability pattern does not cleanly match a binary light curve and may reflect another astrophysical process.,True
STAR-032,KIC3000032,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.2,Eclipsing_Binary,4.9,The depth and spacing of the minima support the current classification. The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed.,True
STAR-033,KIC3000033,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.3,Eclipsing_Binary,3.1,Several features suggest contamination or a harmonic signal rather than a true binary event.,True
STAR-034,KIC3000034,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.0,Eclipsing_Binary,4.6,The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed. Several features suggest contamination or a harmonic signal rather than a true binary event. There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system.,True
STAR-035,KIC3000035,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.7,Eclipsing_Binary,3.3,The depth and spacing of the minima support the current classification. The observed dips are present but not well defined. Additional observations would improve confidence in the classification.,True
STAR-036,KIC3000036,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.5,Eclipsing_Binary,3.7,The variability pattern does not cleanly match a binary light curve and may reflect another astrophysical process. The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed.,True
STAR-037,KIC3000037,Eclipsing_Binary,Professor_A,Triple_System,4.7,Eclipsing_Binary,4.7,The variability pattern does not cleanly match a binary light curve and may reflect another astrophysical process. There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system. The depth and spacing of the minima support the current classification.,False
STAR-038,KIC3000038,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.6,Eclipsing_Binary,4.1,"The signal quality is sufficient for a preliminary assessment, although some uncertainty remains.",True
STAR-039,KIC3000039,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.1,Eclipsing_Binary,3.5,"The signal quality is sufficient for a preliminary assessment, although some uncertainty remains. Flux changes appear regular across the observation window. This pattern is more consistent with an eclipsing binary than stellar noise.",True
STAR-040,KIC3000040,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.1,Eclipsing_Binary,3.2,There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system.,True
STAR-041,KIC3000041,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.9,Eclipsing_Binary,4.1,"There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system. The light curve shows periodic variability, but the eclipse signature is weak and inconsistent with a typical eclipsing binary. Flux changes appear regular across the observation window. This pattern is more consistent with an eclipsing binary than stellar noise.",True
STAR-042,KIC3000042,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.1,Eclipsing_Binary,3.9,"The signal quality is sufficient for a preliminary assessment, although some uncertainty remains. There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system.",True
STAR-043,KIC3000043,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.7,Unknown,3.1,There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system. The observed dips are present but not well defined. Additional observations would improve confidence in the classification.,False
STAR-044,KIC3000044,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.9,Eclipsing_Binary,3.3,The observed dips are present but not well defined. Additional observations would improve confidence in the classification.,True
STAR-045,KIC3000045,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.5,Eclipsing_Binary,3.1,The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed. Several features suggest contamination or a harmonic signal rather than a true binary event.,True
STAR-046,KIC3000046,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.8,Eclipsing_Binary,3.2,The depth and spacing of the minima support the current classification.,True
STAR-047,KIC3000047,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.8,Eclipsing_Binary,3.6,There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system. The depth and spacing of the minima support the current classification. The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed.,True
STAR-048,KIC3000048,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.9,Eclipsing_Binary,2.8,"There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system. The signal quality is sufficient for a preliminary assessment, although some uncertainty remains.",True
STAR-049,KIC3000049,Eclipsing_Binary,Professor_A,Eclipsing_Binary,5.0,Eclipsing_Binary,4.5,Flux changes appear regular across the observation window. This pattern is more consistent with an eclipsing binary than stellar noise.,True
STAR-050,KIC3000050,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.5,False_Positive,3.1,"The light curve shows periodic variability, but the eclipse signature is weak and inconsistent with a typical eclipsing binary. Several features suggest contamination or a harmonic signal rather than a true binary event.",False
STAR-051,KIC3000051,Triple_System,Professor_A,Triple_System,4.4,Triple_System,3.0,"Several features suggest contamination or a harmonic signal rather than a true binary event. There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system. The signal quality is sufficient for a preliminary assessment, although some uncertainty remains.",True
STAR-052,KIC3000052,Multi_Star,Professor_A,Multi_Star,4.3,Multi_Star,4.6,"Flux changes appear regular across the observation window. This pattern is more consistent with an eclipsing binary than stellar noise. The system displays multiple repeating structures that may indicate more than two stellar components. The light curve shows periodic variability, but the eclipse signature is weak and inconsistent with a typical eclipsing binary.",True
STAR-053,KIC3000053,Unknown,Professor_A,Unknown,4.7,Unknown,3.8,The system displays multiple repeating structures that may indicate more than two stellar components.,True
STAR-054,KIC3000054,Unknown,Professor_A,Unknown,3.1,Unknown,4.4,The variability pattern does not cleanly match a binary light curve and may reflect another astrophysical process. Several features suggest contamination or a harmonic signal rather than a true binary event.,True
STAR-055,KIC3000055,Unknown,Professor_A,Unknown,4.3,Eclipsing_Binary,4.0,The observed dips are present but not well defined. Additional observations would improve confidence in the classification. The system displays multiple repeating structures that may indicate more than two stellar components.,False
